Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-104,Data export from system failing with error,Software,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,Low,Low,Low,2025-01-02T13:51:25.000000,2025-01-02T17:51:25.000000,2025-01-05T10:51:25.000000,0,1,Thursday,1,4.0,65.0,69.0,1,2025-01
CR-105,User unable to access HR portal,Hardware,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-01-02T17:28:49.000000,2025-01-02T21:28:49.000000,2025-01-03T15:28:49.000000,0,1,Thursday,1,4.0,18.0,22.0,0,2025-01
CR-106,Printer not printing documents from any workstation,Data,Shang Chi,Shang Chi,Avengers II,Service C,New,Low,Critical,High,High,2025-01-02T10:31:30.000000,,,0,4,Thursday,1,,,,0,2025-01
CR-107,New software installation failing on endpoint,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Medium,Critical,High,High,2025-01-02T00:07:16.000000,2025-01-02T04:07:16.000000,2025-01-02T06:07:16.000000,0,5,Thursday,1,4.0,2.0,6.0,0,2025-01
CR-108,Broken link on intranet home page,Access,Doctor Strange,Doctor Strange,Avengers II,Service B,New,Low,High,Medium,High,2025-01-02T22:20:14.000000,,,1,2,Thursday,0,,,,0,2025-01
CR-109,Antivirus alert triggered on user workstation,Hardware,Hulk,Hulk,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-02T13:45:40.000000,2025-01-02T21:45:40.000000,2025-01-03T21:45:40.000000,0,2,Thursday,1,8.0,24.0,32.0,0,2025-01
CR-110,Access badge system not updating from central database,Network,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,High,High,High,2025-01-02T05:51:38.000000,2025-01-02T11:51:38.000000,2025-01-03T09:51:38.000000,0,2,Thursday,1,6.0,22.0,28.0,1,2025-01
CR-111,Access badge system not updating from central database,Failure,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-01-02T20:56:14.000000,2025-01-03T01:56:14.000000,2025-01-03T23:56:14.000000,0,2,Thursday,1,5.0,22.0,27.0,0,2025-01
CR-112,Unexpected application log errors after deployment,Access,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,High,High,High,2025-01-02T13:35:57.000000,2025-01-02T16:35:57.000000,2025-01-03T05:35:57.000000,0,2,Thursday,1,3.0,13.0,16.0,1,2025-01
CR-113,Access badge system not updating from central database,Access,Neo,Neo,Matrix,Service B,In Progress,High,Medium,Medium,Medium,2025-01-02T18:48:26.000000,2025-01-02T23:48:26.000000,,0,1,Thursday,1,5.0,,,0,2025-01
CR-114,Incorrect data displayed in reporting dashboard,Network,Captain Marvel,Captain Marvel,Avengers II,Service C,On Hold,High,Medium,Medium,Medium,2025-01-02T20:08:01.000000,,,0,2,Thursday,1,,,,0,2025-01
CR-115,Database connection error in production application,Access,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Low,Medium,Medium,Low,2025-01-02T19:45:27.000000,2025-01-02T23:45:27.000000,2025-01-03T22:45:27.000000,1,2,Thursday,0,4.0,23.0,27.0,0,2025-01
CR-116,Access badge system not updating from central database,Facilities,Loki,Loki,Avengers,Service B,Closed,Medium,Critical,High,Medium,2025-01-02T23:05:18.000000,2025-01-03T06:05:18.000000,2025-01-03T12:05:18.000000,0,4,Thursday,1,7.0,6.0,13.0,1,2025-01
CR-117,Application crash when user attempts specific function,Software,Jack Sparrow,Jack Sparrow,Matrix,Service C,In Progress,High,Medium,Medium,Low,2025-01-02T04:24:54.000000,2025-01-02T07:24:54.000000,,0,2,Thursday,1,3.0,,,0,2025-01
CR-118,External website not reachable from corporate network,Failure,Thor,Thor,Avengers,Service A,Closed,High,High,Medium,High,2025-01-02T04:54:14.000000,2025-01-02T12:54:14.000000,2025-01-02T21:54:14.000000,0,3,Thursday,1,8.0,9.0,17.0,1,2025-01
CR-119,Network outage in specific office floor,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-01-02T21:06:46.000000,2025-01-03T02:06:46.000000,2025-01-04T06:06:46.000000,0,1,Thursday,1,5.0,28.0,33.0,1,2025-01
CR-120,Auto-save not working in productivity application,Network,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,High,Medium,Low,2025-01-02T06:59:20.000000,2025-01-02T12:59:20.000000,2025-01-03T05:59:20.000000,0,2,Thursday,1,6.0,17.0,23.0,1,2025-01
CR-121,Batch job failed to complete overnight,Hardware,Batman,Batman,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-01-02T22:22:01.000000,2025-01-03T06:22:01.000000,2025-01-04T09:22:01.000000,0,2,Thursday,1,8.0,27.0,35.0,1,2025-01
CR-122,Single sign-on not working for cloud application,Complaint,Hulk,Hulk,Avengers,Service A,Closed,Medium,High,High,Low,2025-01-02T09:05:01.000000,2025-01-02T14:05:01.000000,2025-01-03T09:05:01.000000,0,3,Thursday,1,5.0,19.0,24.0,1,2025-01
CR-123,Error while uploading documents to intranet portal,Complaint,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Critical,High,Medium,2025-01-02T01:55:20.000000,2025-01-02T05:55:20.000000,2025-01-02T14:55:20.000000,0,3,Thursday,1,4.0,9.0,13.0,1,2025-01
CR-124,SSL certificate error when accessing internal site,Hardware,John Cena,John Cena,Matrix,Service C,New,High,High,High,Medium,2025-01-02T17:46:38.000000,,,0,3,Thursday,1,,,,0,2025-01
CR-125,User’s mailbox not receiving external emails,Facilities,John Cena,John Cena,Matrix,Service B,Closed,Medium,Low,Low,Low,2025-01-02T00:05:35.000000,2025-01-02T05:05:35.000000,2025-01-03T06:05:35.000000,1,0,Thursday,0,5.0,25.0,30.0,0,2025-01
CR-126,Newly created user not syncing to all systems,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Low,Medium,Medium,Low,2025-01-02T21:32:01.000000,2025-01-03T02:32:01.000000,2025-01-04T00:32:01.000000,0,2,Thursday,1,5.0,22.0,27.0,0,2025-01
CR-127,User’s mailbox not receiving external emails,Failure,Loki,Loki,Avengers,Service B,Closed,Low,Critical,Medium,High,2025-01-02T22:53:47.000000,2025-01-03T02:53:47.000000,2025-01-03T06:53:47.000000,1,5,Thursday,0,4.0,4.0,8.0,0,2025-01
CR-128,Duplicate records appearing in customer database,Complaint,Loki,Loki,Avengers,Service C,Closed,High,High,High,High,2025-01-02T11:21:22.000000,2025-01-02T16:21:22.000000,2025-01-03T12:21:22.000000,0,2,Thursday,1,5.0,20.0,25.0,1,2025-01
CR-129,Local profile corrupted on shared workstation,Failure,Loki,Loki,Avengers,Service A,Closed,Low,Medium,Medium,Medium,2025-01-02T15:39:18.000000,2025-01-02T20:39:18.000000,2025-01-03T19:39:18.000000,0,1,Thursday,1,5.0,23.0,28.0,0,2025-01
CR-130,Network outage in specific office floor,Facilities,Loki,Loki,Avengers,Service C,Closed,High,Medium,Medium,Medium,2025-01-02T21:49:10.000000,2025-01-03T00:49:10.000000,2025-01-03T13:49:10.000000,1,2,Thursday,0,3.0,13.0,16.0,0,2025-01
CR-131,File restore from backup failed for requested folder,Network,Hulk,Hulk,Avengers,Service A,Closed,High,Critical,High,Medium,2025-01-02T11:44:09.000000,2025-01-02T15:44:09.000000,2025-01-02T21:44:09.000000,0,4,Thursday,1,4.0,6.0,10.0,1,2025-01
CR-132,Access badge system not updating from central database,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,Medium,Low,Medium,2025-01-02T17:36:17.000000,2025-01-02T19:36:17.000000,2025-01-04T05:36:17.000000,0,2,Thursday,1,2.0,34.0,36.0,1,2025-01
CR-133,Network latency observed between data center and branch office,Facilities,Hulk,Hulk,Avengers,Service B,Closed,Medium,Low,Low,Low,2025-01-02T13:45:16.000000,2025-01-02T17:45:16.000000,2025-01-05T15:45:16.000000,1,1,Thursday,0,4.0,70.0,74.0,1,2025-01
CR-134,Endpoint disk space critically low warning,Software,Thor,Thor,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-02T02:36:21.000000,2025-01-02T07:36:21.000000,2025-01-02T15:36:21.000000,0,5,Thursday,1,5.0,8.0,13.0,1,2025-01
CR-135,Scheduled report not generated or delivered,Network,Hulk,Hulk,Avengers,Service A,Closed,High,Critical,Medium,High,2025-01-02T10:24:25.000000,2025-01-02T15:24:25.000000,2025-01-03T01:24:25.000000,0,3,Thursday,1,5.0,10.0,15.0,1,2025-01
CR-136,Barcode scanner not transmitting data to system,Data,Hulk,Hulk,Avengers,Service B,Closed,Medium,Critical,Medium,High,2025-01-02T14:16:01.000000,2025-01-02T19:16:01.000000,2025-01-03T05:16:01.000000,0,4,Thursday,1,5.0,10.0,15.0,1,2025-01
CR-137,User not receiving password reset email,Failure,Loki,Loki,Avengers,Service A,Closed,High,High,High,High,2025-01-02T02:08:28.000000,2025-01-02T05:08:28.000000,2025-01-03T01:08:28.000000,1,3,Thursday,0,3.0,20.0,23.0,1,2025-01
CR-138,Application crash when user attempts specific function,Software,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Medium,Medium,Medium,Low,2025-01-02T03:30:22.000000,2025-01-02T06:30:22.000000,2025-01-03T10:30:22.000000,0,2,Thursday,1,3.0,28.0,31.0,1,2025-01
CR-139,Network outage in specific office floor,Failure,Thor,Thor,Avengers,Service C,Closed,High,High,High,High,2025-01-02T00:07:35.000000,2025-01-02T08:07:35.000000,2025-01-03T06:07:35.000000,0,3,Thursday,1,8.0,22.0,30.0,1,2025-01
CR-140,USB device not recognized on workstation,Complaint,Thor,Thor,Avengers,Service A,Closed,High,High,Medium,Medium,2025-01-02T14:31:46.000000,2025-01-02T19:31:46.000000,2025-01-03T13:31:46.000000,0,3,Thursday,1,5.0,18.0,23.0,1,2025-01
CR-141,User unable to open encrypted email,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,High,Low,Low,Low,2025-01-02T15:12:29.000000,2025-01-02T18:12:29.000000,2025-01-04T04:12:29.000000,0,1,Thursday,1,3.0,34.0,37.0,0,2025-01
CR-142,Firewall blocking legitimate traffic to partner system,Network,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,High,High,High,High,2025-01-02T19:57:31.000000,2025-01-02T23:57:31.000000,2025-01-03T13:57:31.000000,1,2,Thursday,0,4.0,14.0,18.0,1,2025-01
CR-143,Endpoint not checking in with management server,Access,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,High,High,High,2025-01-02T21:07:23.000000,2025-01-03T05:07:23.000000,2025-01-03T18:07:23.000000,0,2,Thursday,1,8.0,13.0,21.0,1,2025-01
CR-144,Batch job failed to complete overnight,Failure,Hulk,Hulk,Avengers,Service C,Closed,High,Medium,Low,Medium,2025-01-02T21:03:55.000000,2025-01-03T02:03:55.000000,2025-01-03T23:03:55.000000,0,2,Thursday,1,5.0,21.0,26.0,0,2025-01
CR-145,Queue processing stuck in payment application,Access,Captain America,Captain America,Avengers,Service B,In Progress,Low,High,Medium,High,2025-01-02T20:56:57.000000,2025-01-03T01:56:57.000000,,1,3,Thursday,0,5.0,,,0,2025-01
CR-146,Intermittent packet loss on WAN link,Complaint,John Cena,John Cena,Matrix,Service A,Closed,Low,Medium,Medium,Medium,2025-01-02T06:46:17.000000,2025-01-02T08:46:17.000000,2025-01-03T09:46:17.000000,0,2,Thursday,1,2.0,25.0,27.0,1,2025-01
CR-147,User profile not loading correctly after login,Software,Captain America,Captain America,Avengers,Service B,New,Low,High,High,Medium,2025-01-02T08:23:34.000000,,,0,3,Thursday,1,,,,0,2025-01
CR-148,Printing jobs stuck in queue without error message,Complaint,Captain America,Captain America,Avengers,Service B,Closed,High,Medium,Low,Medium,2025-01-02T21:44:24.000000,2025-01-03T00:44:24.000000,2025-01-03T20:44:24.000000,0,2,Thursday,1,3.0,20.0,23.0,0,2025-01
CR-149,Incorrect display of currency values in front-end,Network,Thor,Thor,Avengers,Service B,In Progress,Low,Critical,High,High,2025-01-02T14:40:22.000000,2025-01-02T17:40:22.000000,,0,5,Thursday,1,3.0,,,0,2025-01
CR-150,Network printer not visible in device list,Complaint,Thor,Thor,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-02T11:11:01.000000,2025-01-02T18:11:01.000000,2025-01-02T22:11:01.000000,1,5,Thursday,0,7.0,4.0,11.0,0,2025-01
CR-151,Corrupted email attachments received internally,Facilities,John Wick,John Wick,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-02T18:56:13.000000,2025-01-03T01:56:13.000000,2025-01-03T13:56:13.000000,0,2,Thursday,1,7.0,12.0,19.0,0,2025-01
CR-152,Delayed message delivery in internal chat system,Data,John Wick,John Wick,Matrix,Service B,Closed,High,Medium,Medium,Medium,2025-01-02T17:07:12.000000,2025-01-03T01:07:12.000000,2025-01-04T09:07:12.000000,0,1,Thursday,1,8.0,32.0,40.0,1,2025-01
CR-153,Corrupt file detected in document management system,Hardware,Thor,Thor,Avengers,Service B,Closed,Medium,High,High,High,2025-01-02T21:27:47.000000,2025-01-03T00:27:47.000000,2025-01-03T06:27:47.000000,0,2,Thursday,1,3.0,6.0,9.0,0,2025-01
CR-154,Unexpected logout from critical application during use,Facilities,Shang Chi,Shang Chi,Avengers II,Service C,On Hold,Low,Medium,Medium,Medium,2025-01-02T23:58:24.000000,,,1,1,Thursday,0,,,,0,2025-01
CR-155,Multi-factor authentication code not delivered to user,Failure,Batman,Batman,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-02T07:00:48.000000,2025-01-02T10:00:48.000000,2025-01-03T00:00:48.000000,0,2,Thursday,1,3.0,14.0,17.0,0,2025-01
CR-156,Application not launching after latest OS update,Failure,Thor,Thor,Avengers,Service B,Closed,Medium,Medium,Low,Medium,2025-01-02T02:05:18.000000,2025-01-02T04:05:18.000000,2025-01-03T11:05:18.000000,0,2,Thursday,1,2.0,31.0,33.0,1,2025-01
CR-157,User home drive not mapping at login,Failure,Spiderman,Spiderman,Avengers II,Service C,Closed,Low,Critical,High,High,2025-01-02T14:15:46.000000,2025-01-02T17:15:46.000000,2025-01-03T01:15:46.000000,0,4,Thursday,1,3.0,8.0,11.0,1,2025-01
CR-158,Incorrect data displayed in reporting dashboard,Data,Shang Chi,Shang Chi,Avengers II,Service A,On Hold,High,Critical,Medium,High,2025-01-02T17:42:46.000000,,,0,5,Thursday,1,,,,0,2025-01
CR-159,Single sign-on not working for cloud application,Hardware,Spiderman,Spiderman,Avengers II,Service B,Closed,High,High,Medium,High,2025-01-02T15:46:20.000000,2025-01-02T20:46:20.000000,2025-01-03T05:46:20.000000,0,3,Thursday,1,5.0,9.0,14.0,1,2025-01
CR-160,Multi-factor authentication code not delivered to user,Access,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,High,High,High,2025-01-02T20:31:06.000000,2025-01-03T02:31:06.000000,2025-01-03T13:31:06.000000,0,2,Thursday,1,6.0,11.0,17.0,1,2025-01
CR-161,Frequent disconnections from remote desktop session,Hardware,Hulk,Hulk,Avengers,Service A,Closed,High,Critical,High,High,2025-01-02T00:56:47.000000,2025-01-02T06:56:47.000000,2025-01-02T14:56:47.000000,0,5,Thursday,1,6.0,8.0,14.0,1,2025-01
CR-162,Endpoint not checking in with management server,Access,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Low,Low,Low,2025-01-02T01:25:49.000000,2025-01-02T09:25:49.000000,2025-01-05T01:25:49.000000,0,0,Thursday,1,8.0,64.0,72.0,1,2025-01
CR-163,Old password still granting access to system,Software,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Critical,High,Medium,2025-01-02T00:52:14.000000,2025-01-02T07:52:14.000000,2025-01-02T12:52:14.000000,0,5,Thursday,1,7.0,5.0,12.0,1,2025-01
CR-164,Queue processing stuck in payment application,Software,Captain America,Captain America,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-02T12:32:18.000000,2025-01-02T17:32:18.000000,2025-01-03T11:32:18.000000,0,2,Thursday,1,5.0,18.0,23.0,0,2025-01
CR-165,Incorrect display of currency values in front-end,Access,Shang Chi,Shang Chi,Avengers II,Service C,In Progress,Medium,Low,Low,Low,2025-01-02T03:19:07.000000,2025-01-02T05:19:07.000000,,1,1,Thursday,0,2.0,,,0,2025-01
CR-166,Unauthorized login attempt alert for admin account,Complaint,Hulk,Hulk,Avengers,Service B,In Progress,High,Critical,High,High,2025-01-02T09:59:25.000000,2025-01-02T14:59:25.000000,,0,3,Thursday,1,5.0,,,0,2025-01
CR-167,Single user laptop not connecting to Wi-Fi,Software,John Wick,John Wick,Matrix,Service B,Closed,Low,Low,Low,Low,2025-01-02T13:22:46.000000,2025-01-02T15:22:46.000000,2025-01-04T11:22:46.000000,1,1,Thursday,0,2.0,44.0,46.0,0,2025-01
CR-168,High CPU usage on database server impacting performance,Failure,John Wick,John Wick,Matrix,Service A,Closed,Medium,High,High,Medium,2025-01-02T12:42:30.000000,2025-01-02T18:42:30.000000,2025-01-03T08:42:30.000000,0,2,Thursday,1,6.0,14.0,20.0,1,2025-01
CR-169,Batch job failed to complete overnight,Data,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Low,Low,Low,Low,2025-01-02T11:14:11.000000,2025-01-02T16:14:11.000000,2025-01-05T08:14:11.000000,0,0,Thursday,1,5.0,64.0,69.0,1,2025-01
CR-170,High CPU usage on database server impacting performance,Network,Captain Marvel,Captain Marvel,Avengers II,Service C,On Hold,Medium,Medium,Low,Medium,2025-01-02T13:42:53.000000,,,0,2,Thursday,1,,,,0,2025-01
CR-171,Incorrect user mapping in identity provider,Data,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Low,High,Medium,High,2025-01-02T21:01:07.000000,2025-01-03T00:01:07.000000,2025-01-03T22:01:07.000000,1,3,Thursday,0,3.0,22.0,25.0,1,2025-01
CR-172,User account locked after multiple failed login attempts,Hardware,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Low,Low,Low,2025-01-02T04:09:58.000000,2025-01-02T08:09:58.000000,2025-01-04T18:09:58.000000,1,1,Thursday,0,4.0,58.0,62.0,1,2025-01
CR-173,Incorrect group membership causing access escalation,Facilities,Thor,Thor,Avengers,Service A,Closed,Medium,Medium,Low,Low,2025-01-02T07:02:50.000000,2025-01-02T10:02:50.000000,2025-01-03T20:02:50.000000,0,1,Thursday,1,3.0,34.0,37.0,1,2025-01
CR-174,Error 500 returned by internal web application,Network,Loki,Loki,Avengers,Service A,Closed,High,Critical,High,High,2025-01-02T06:50:30.000000,2025-01-02T12:50:30.000000,2025-01-02T23:50:30.000000,0,4,Thursday,1,6.0,11.0,17.0,1,2025-01
CR-175,Single user laptop not connecting to Wi-Fi,Facilities,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-01-02T23:10:13.000000,2025-01-03T05:10:13.000000,2025-01-04T08:10:13.000000,0,2,Thursday,1,6.0,27.0,33.0,1,2025-01
CR-176,Application crash when user attempts specific function,Data,Loki,Loki,Avengers,Service C,Closed,High,Critical,High,High,2025-01-02T22:55:52.000000,2025-01-03T03:55:52.000000,2025-01-03T10:55:52.000000,0,3,Thursday,1,5.0,7.0,12.0,1,2025-01
CR-177,Printing jobs stuck in queue without error message,Data,John Cena,John Cena,Matrix,Service C,On Hold,Low,Medium,Medium,Low,2025-01-02T16:25:22.000000,,,0,2,Thursday,1,,,,0,2025-01
CR-178,Multi-factor authentication code not delivered to user,Complaint,Neo,Neo,Matrix,Service A,Closed,Low,High,Medium,High,2025-01-02T21:59:39.000000,2025-01-03T03:59:39.000000,2025-01-04T03:59:39.000000,0,2,Thursday,1,6.0,24.0,30.0,1,2025-01
CR-179,Frequent password prompts despite valid authentication,Facilities,Batman,Batman,Matrix,Service A,Closed,High,Medium,Medium,Low,2025-01-02T21:19:00.000000,2025-01-03T02:19:00.000000,2025-01-03T17:19:00.000000,0,2,Thursday,1,5.0,15.0,20.0,0,2025-01
CR-180,SSL certificate error when accessing internal site,Access,Thor,Thor,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-02T02:13:31.000000,2025-01-02T04:13:31.000000,2025-01-02T17:13:31.000000,0,2,Thursday,1,2.0,13.0,15.0,0,2025-01
CR-181,Mobile app login failing for all users,Network,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Low,High,Medium,High,2025-01-02T03:51:37.000000,2025-01-02T10:51:37.000000,2025-01-02T19:51:37.000000,0,2,Thursday,1,7.0,9.0,16.0,1,2025-01
CR-182,VoIP phone not registering with call manager,Failure,Thor,Thor,Avengers,Service B,On Hold,High,Critical,High,High,2025-01-02T08:36:26.000000,,,1,4,Thursday,0,,,,0,2025-01
CR-183,Endpoint disk space critically low warning,Network,Hulk,Hulk,Avengers,Service B,Closed,Medium,High,Medium,High,2025-01-02T04:35:59.000000,2025-01-02T11:35:59.000000,2025-01-02T21:35:59.000000,1,2,Thursday,0,7.0,10.0,17.0,1,2025-01
CR-184,Incorrect user mapping in identity provider,Access,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-01-02T12:52:05.000000,2025-01-02T14:52:05.000000,2025-01-03T08:52:05.000000,0,1,Thursday,1,2.0,18.0,20.0,0,2025-01
CR-185,Auto-save not working in productivity application,Network,Hulk,Hulk,Avengers,Service C,On Hold,Low,Critical,High,High,2025-01-02T15:27:05.000000,,,0,3,Thursday,1,,,,0,2025-01
CR-186,Error 500 returned by internal web application,Failure,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,High,High,High,High,2025-01-02T02:36:47.000000,2025-01-02T06:36:47.000000,2025-01-02T22:36:47.000000,0,3,Thursday,1,4.0,16.0,20.0,1,2025-01
